x,y,z,colorb_v,colorv_i,lum,Mv,mv,hipno,vx,vy,vz,speed,starname
47.66,-9.19,-202.16,0.23,0.26,0.0937,2.6,9.2,271,-9.23,9.07,-6.13,14.32,"0003-3557"
164.73,-113.63,-499.00,0.04,0.06,0.101,2.5,11.1,273,15.62,15.83,10.59,24.63,"0003-4649"
-463.69,885.72,22.06,0.33,0.43,31.9,-3.8,6.2,274,44.40,-13.31,0.75,46.36,"0003+6338"
14.60,-3.07,-61.34,0.35,0.41,0.0655,3.0,7.0,277,-7.58,6.74,-8.80,13.42,"0003-3615"
-460.18,887.83,0.05,0.12,0.13,3.34,-1.3,8.7,279,15.98,16.99,12.81,26.61,"0003+6221"
12.52,2.05,-64.29,0.56,0.64,0.0332,3.7,7.8,290,-10.62,-9.67,4.79,15.14,"0003-3105"
116.35,49.91,-673.13,-0.12,-0.11,2.44,-1.0,8.2,291,-14.44,0.17,-32.00,35.10,"0003-2825"
5.46,16.92,-67.58,-0.05,-0.03,0.739,0.3,4.5,301,3.01,11.48,-2.66,12.16,"0003-1720 2 Cet"
-142.58,265.40,22.52,1.63,2.28,2.73,-1.1,6.3,302,-6.19,26.16,-5.20,27.38,"0003+6643"
64.20,-41.10,-204.09,0.23,0.26,0.182,1.8,8.5,309,-0.32,7.34,22.46,23.63,"0003-4517"
-457.40,889.00,-21.66,0.36,0.42,3.66,-1.4,8.6,312,33.40,-12.27,-2.21,35.65,"0003+6106"
-384.05,739.56,-2.09,0.26,0.29,3.68,-1.4,8.2,319,46.12,-34.19,7.33,57.88,"0004+6213"
11.43,38.04,-149.12,0.00,0.00,0.00332,6.2,12.1,320,-20.67,-24.44,115.90,120.24,"0004-1659"
42.83,10.66,-231.68,-0.09,-0.07,0.811,0.2,7.1,328,-10.31,7.46,-13.27,18.39,"0004-3008"
-461.34,887.22,-1.44,0.27,0.31,43.7,-4.1,5.9,330,21.98,3.17,6.60,23.17,"0004+6217 9 Cas"
13.91,43.28,-174.69,0.16,0.18,0.0782,2.8,9.1,333,26.02,6.62,17.02,31.79,"0004-1725"
6.13,22.41,-85.47,1.08,1.05,0.382,1.0,5.8,343,0.11,-23.55,24.92,34.29,"0004-1632"
-53.71,125.02,-54.63,1.50,3.91,0.0117,4.8,10.7,344,46.08,-60.51,40.00,85.94,"0004+4006"
22.49,7.54,-126.83,0.01,0.03,0.467,0.8,6.4,345,-4.84,10.44,-9.58,14.98,"0004-2916"
-10.61,38.16,-44.48,0.64,0.70,0.0129,4.7,8.6,348,-86.57,3.71,-5.06,86.80,"0004+1257"
42.69,13.80,-239.74,-0.06,-0.04,0.464,0.8,7.8,349,-11.96,7.82,-3.09,14.61,"0004-2922"
-34.53,68.57,-5.69,0.80,0.84,0.00403,6.0,10.4,352,-89.08,-138.92,-28.95,167.55,"0004+5804"
8.59,167.92,-463.03,1.62,1.64,24.5,-3.5,5.0,355,36.26,-15.02,42.63,57.94,"0004-1031 3 Cet"
40.41,-52.31,-63.38,0.44,0.51,0.0981,2.5,7.3,357,12.71,-3.44,13.65,18.97,"0004-7253"
-179.47,402.90,-147.64,2.53,2.59,1.22,-0.2,8.1,363,22.70,14.18,5.94,27.42,"0004+4333"
-194.89,443.65,-175.79,0.16,0.18,9.56,-2.5,6.1,365,48.62,15.23,-13.70,52.76,"0004+4206"
-54.23,133.99,-75.62,1.10,0.96,0.414,1.0,7.0,374,36.52,-4.82,-0.84,36.85,"0004+3415"
76.41,-97.15,-124.51,-0.10,-0.08,1.79,-0.6,5.6,377,-10.05,-3.69,10.75,15.17,"0004-7126"
